1	20091209200205	human	G
2	20091209201110	human	G
3	20091209201110	human	G
4	20091209201951	human	G
5	20091209201952	human	G
6	20091209202710	human	G
7	20091209203733	human	G
8	20091209203734	human	G
9	20091209204546	human	G
10	20091209204549	human	G
11	20091209205354	human	G
12	20091209205354	human	G
13	20091209210252	human	G
14	20091209210252	human	G
15	20091209211053	human	B
16	20091209211320	human	G
17	20091209211826	human	B
18	20091209211827	human	G
19	20091209212624	human	B
20	20091209212627	human	G
21	20091209214232	human	B
22	20091209214233	human	G
23	20091209215058	human	B
24	20091209215059	human	G
25	20091210190159	human	G
26	20091210190204	human	G
27	20091210205159	human	G
28	20091210205159	human	G
29	20091210210003	human	G
30	20091210210004	human	G
31	20091210210719	human	G
32	20091210210720	human	G
33	20091210211545	human	G
34	20091210212352	human	G
35	20091210214342	human	G
36	20091210214342	human	G
37	20091210215222	human	G
38	20091210215223	human	G
39	20091210220041	human	G
40	20091210220044	human	G
41	20091210212532	human	G
42	20091210211545	human	G
43	20091209215725	human-animal	G
44	20091209230715	human-animal	G
45	20091209220559	human-animal	G
46	20091209220600	human-animal	G
47	20091209221708	human-animal	G
48	20091209221708	human-animal	G
49	20091209222415	human-animal	G
50	20091209222416	human-animal	G
51	20091209223440	human-animal	G
52	20091209223444	human-animal	B
53	20091209225134	human-animal	G
54	20091209225135	human-animal	B
55	20091209225901	human-animal	B
56	20091209225902	human-animal	G
57	20091209230714	human-animal	B
58	20091209230714	human-animal	G
59	20091210191254	human-animal	G
60	20091210191254	human-animal	G
61	20091210192228	human-animal	G
62	20091210192228	human-animal	G
63	20091210193146	human-animal	G
64	20091210193146	human-animal	G
65	20091210194832	human-animal	G
66	20091210194833	human-animal	G
67	20091210200006	human-animal	G
68	20091210200007	human-animal	G
69	20091210200859	human-animal	G
70	20091210200900	human-animal	G
71	20091210202300	human-animal	G
72	20091210202300	human-animal	G
73	20091210203053	human-animal	G
74	20091210203053	human-animal	G
75	20091210204120	human-animal	G
76	20091210204120	human-animal	G
			
