1	20091209200205	human	G
2	20091209201110	human	G
3	20091209201110	human	B
4	20091209201951	human	B
5	20091209201952	human	G
6	20091209202710	human	G
7	20091209203733	human	G
8	20091209203734	human	B
9	20091209204546	human	G
10	20091209204549	human	B
11	20091209205354	human	G
12	20091209205354	human	B
13	20091209210252	human	G
14	20091209210252	human	B
15	20091209211053	human	G
16	20091209211320	human	B
17	20091209211826	human	G
18	20091209211827	human	B
19	20091209212624	human	G
20	20091209212627	human	B
21	20091209214232	human	G
22	20091209214233	human	B
23	20091209215058	human	G
24	20091209215059	human	B
25	20091210190159	human	B
26	20091210190204	human	G
27	20091210205159	human	G
28	20091210205159	human	B
29	20091210210003	human	B
30	20091210210004	human	G
31	20091210210719	human	G
32	20091210210720	human	B
33	20091210211545	human	G
34	20091210212352	human	G
35	20091210214342	human	G
36	20091210214342	human	B
37	20091210215222	human	B
38	20091210215223	human	G
39	20091210220041	human	B
40	20091210220044	human	G
41	20091210212532	human	B
42	20091210211545	human	B
43	20091209215725	human-animal	G
44	20091209230715	human-animal	G
45	20091209220559	human-animal	B
46	20091209220600	human-animal	G
47	20091209221708	human-animal	G
48	20091209221708	human-animal	B
49	20091209222415	human-animal	G
50	20091209222416	human-animal	B
51	20091209223440	human-animal	B
52	20091209223444	human-animal	G
53	20091209225134	human-animal	B
54	20091209225135	human-animal	G
55	20091209225901	human-animal	G
56	20091209225902	human-animal	B
57	20091209230714	human-animal	G
58	20091209230714	human-animal	B
59	20091210191254	human-animal	G
60	20091210191254	human-animal	B
61	20091210192228	human-animal	G
62	20091210192228	human-animal	B
63	20091210193146	human-animal	G
64	20091210193146	human-animal	B
65	20091210194832	human-animal	B
66	20091210194833	human-animal	G
67	20091210200006	human-animal	B
68	20091210200007	human-animal	G
69	20091210200859	human-animal	G
70	20091210200900	human-animal	B
71	20091210202300	human-animal	G
72	20091210202300	human-animal	B
73	20091210203053	human-animal	G
74	20091210203053	human-animal	B
75	20091210204120	human-animal	G
76	20091210204120	human-animal	B
